1f004,mahjong-red-dragon,mahjong
1f411,sheep
1f412,monkey
1f413,rooster
1f414,chicken
1f415,dog,dog2
1f416,pig,pig2
1f417,boar
1f418,elephant
1f419,octopus
1f41a,spiral-shell,shell
1f41b,bug
1f41c,ant
1f41d,honeybee
1f41e,lady-beetle,beetle
1f41f,fish
1f420,tropical-fish
1f421,blowfish
1f422,turtle
1f423,hatching-chick
1f424,baby-chick
1f425,front-facing-baby-chick,hatched-chick
1f426,bird
1f427,penguin
1f428,koala
1f429,poodle
1f42a,camel,dromedary-camel
1f42b,two-hump-camel
1f42c,dolphin
1f42d,mouse-face
1f42e,cow-face
1f42f,tiger-face
1f430,rabbit-face
1f431,cat-face
1f432,dragon-face
1f433,spouting-whale
1f434,horse-face
1f435,monkey-face
1f436,dog-face
1f437,pig-face
1f438,frog-face,frog
1f439,hamster-face,hamster
1f43a,wolf-face,wolf
1f43b,bear-face,bear
1f43c,panda-face
1f43d,pig-nose
1f43e,paw-prints
1f43f,chipmunk
1f440,eyes
1f441-200d-1f5e8,eye-in-speech-bubble
1f441,eye
1f442-1f3fb,ear-type-1-2
1f442-1f3fc,ear-type-3
1f442-1f3fd,ear-type-4
1f442-1f3fe,ear-type-5
1f442-1f3ff,ear-type-6
1f442,ear
1f443-1f3fb,nose-type-1-2
1f443-1f3fc,nose-type-3
1f443-1f3fd,nose-type-4
1f443-1f3fe,nose-type-5
1f443-1f3ff,nose-type-6
1f443,nose
1f444,mouth,lips
1f445,tongue
1f446-1f3fb,white-up-pointing-backhand-index-type-1-2
1f446-1f3fc,white-up-pointing-backhand-index-type-3
1f446-1f3fd,white-up-pointing-backhand-index-type-4
1f446-1f3fe,white-up-pointing-backhand-index-type-5
1f446-1f3ff,white-up-pointing-backhand-index-type-6
1f446,backhand-index-pointing-up,point-up-2
1f447-1f3fb,white-down-pointing-backhand-index-type-1-2
1f447-1f3fc,white-down-pointing-backhand-index-type-3
1f447-1f3fd,white-down-pointing-backhand-index-type-4
1f447-1f3fe,white-down-pointing-backhand-index-type-5
1f447-1f3ff,white-down-pointing-backhand-index-type-6
1f447,backhand-index-pointing-down,point-down
1f448-1f3fb,white-left-pointing-backhand-index-type-1-2
1f448-1f3fc,white-left-pointing-backhand-index-type-3
1f448-1f3fd,white-left-pointing-backhand-index-type-4
1f448-1f3fe,white-left-pointing-backhand-index-type-5
1f448-1f3ff,white-left-pointing-backhand-index-type-6
1f448,backhand-index-pointing-left,point-left
1f449-1f3fb,white-right-pointing-backhand-index-type-1-2
1f449-1f3fc,white-right-pointing-backhand-index-type-3
1f449-1f3fd,white-right-pointing-backhand-index-type-4
1f449-1f3fe,white-right-pointing-backhand-index-type-5
1f449-1f3ff,white-right-pointing-backhand-index-type-6
1f449,backhand-index-pointing-right,point-right
1f44a-1f3fb,fisted-hand-sign-type-1-2
1f44a-1f3fc,fisted-hand-sign-type-3
1f44a-1f3fd,fisted-hand-sign-type-4
1f44a-1f3fe,fisted-hand-sign-type-5
1f44a-1f3ff,fisted-hand-sign-type-6
1f44a,oncoming-fist,punch
1f44b-1f3fb,waving-hand-sign-type-1-2
1f44b-1f3fc,waving-hand-sign-type-3
1f44b-1f3fd,waving-hand-sign-type-4
1f44b-1f3fe,waving-hand-sign-type-5
1f44b-1f3ff,waving-hand-sign-type-6
1f44b,waving-hand,wave
1f44c-1f3fb,ok-hand-sign-type-1-2
1f44c-1f3fc,ok-hand-sign-type-3
1f44c-1f3fd,ok-hand-sign-type-4
1f44c-1f3fe,ok-hand-sign-type-5
1f44c-1f3ff,ok-hand-sign-type-6
1f44c,ok-hand
1f44d-1f3fb,thumbs-up-sign-type-1-2
1f44d-1f3fc,thumbs-up-sign-type-3
1f44d-1f3fd,thumbs-up-sign-type-4
1f44d-1f3fe,thumbs-up-sign-type-5
1f44d-1f3ff,thumbs-up-sign-type-6
1f44d,thumbs-up,thumbsup
1f44e-1f3fb,thumbs-down-sign-type-1-2
1f44e-1f3fc,thumbs-down-sign-type-3
1f44e-1f3fd,thumbs-down-sign-type-4
1f44e-1f3fe,thumbs-down-sign-type-5
1f44e-1f3ff,thumbs-down-sign-type-6
1f44e,thumbs-down,thumbsdown
1f44f-1f3fb,clapping-hands-sign-type-1-2
1f44f-1f3fc,clapping-hands-sign-type-3
1f44f-1f3fd,clapping-hands-sign-type-4
1f44f-1f3fe,clapping-hands-sign-type-5
1f44f-1f3ff,clapping-hands-sign-type-6
1f44f,clapping-hands,clap
1f450-1f3fb,open-hands-sign-type-1-2
1f450-1f3fc,open-hands-sign-type-3
1f450-1f3fd,open-hands-sign-type-4
1f450-1f3fe,open-hands-sign-type-5
1f450-1f3ff,open-hands-sign-type-6
1f450,open-hands
1f451,crown
1f452,womans-hat
1f453,glasses,eyeglasses
1f454,necktie
1f455,t-shirt,shirt
1f456,jeans
1f457,dress
1f458,kimono
1f459,bikini
1f45a,womans-clothes
1f45b,purse
1f45c,handbag
1f45d,pouch
1f45e,mans-shoe
1f45f,running-shoe
1f460,high-heeled-shoe,high-heel
1f461,womans-sandal,sandal
1f462,womans-boot,boot
1f463,footprints,feet
1f464,bust-in-silhouette
1f465,busts-in-silhouette
1f466-1f3fb,boy-type-1-2
1f466-1f3fc,boy-type-3
1f466-1f3fd,boy-type-4
1f466-1f3fe,boy-type-5
1f466-1f3ff,boy-type-6
1f466,boy
1f467-1f3fb,girl-type-1-2
1f467-1f3fc,girl-type-3
1f467-1f3fd,girl-type-4
1f467-1f3fe,girl-type-5
1f467-1f3ff,girl-type-6
1f467,girl
1f468-1f3fb,man-type-1-2
1f468-1f3fc,man-type-3
1f468-1f3fd,man-type-4
1f468-1f3fe,man-type-5
1f468-1f3ff,man-type-6
1f468-200d-1f468-200d-1f466-200d-1f466,family-man-man-boy-boy
1f468-200d-1f468-200d-1f466,family-man-man-boy
1f468-200d-1f468-200d-1f467-200d-1f466,family-man-man-girl-boy
1f468-200d-1f468-200d-1f467-200d-1f467,family-man-man-girl-girl
1f468-200d-1f468-200d-1f467,family-man-man-girl
1f468-200d-1f469-200d-1f466-200d-1f466,family-man-woman-boy-boy
1f468-200d-1f469-200d-1f466,family-man-woman-boy
1f468-200d-1f469-200d-1f467-200d-1f466,family-man-woman-girl-boy
1f468-200d-1f469-200d-1f467-200d-1f467,family-man-woman-girl-girl
1f468-200d-1f469-200d-1f467,family-man-woman-girl
1f468-200d-2764-fe0f-200d-1f468,couple-with-heart-man-man
1f468-200d-2764-fe0f-200d-1f48b-200d-1f468,kiss-man-man
1f468,man
1f469-1f3fb,woman-type-1-2
1f469-1f3fc,woman-type-3
1f469-1f3fd,woman-type-4
1f469-1f3fe,woman-type-5
1f469-1f3ff,woman-type-6
1f469-200d-1f469-200d-1f466-200d-1f466,family-woman-woman-boy-boy
1f469-200d-1f469-200d-1f466,family-woman-woman-boy
1f469-200d-1f469-200d-1f467-200d-1f466,family-woman-woman-girl-boy
1f469-200d-1f469-200d-1f467-200d-1f467,family-woman-woman-girl-girl
